currency,date,rate,pct_change,rolling_vol_7d
BDT,2026-01-22,122.30026,0.04013866858882942,0.03641835881718165
BDT,2026-01-23,122.309725,0.00773914953247079,0.03503579416216708
BDT,2026-01-26,122.373394,0.05205554995728612,0.027980105343438685
BDT,2026-01-27,122.045614,-0.2678523405177491,0.1086510533713233
BDT,2026-01-28,122.138609,0.07619692093154828,0.11587273895881273
BGN,2025-12-01,1.680805,,
BGN,2025-12-02,1.6837,0.17223889743307463,
BGN,2025-12-03,1.676735,-0.4136722694066619,0.4143017592453003
BGN,2025-12-07,1.680002,0.19484295371658966,0.3449863803013849
BGN,2025-12-08,1.6786,-0.08345228160442364,0.2837200898985925
BGN,2025-12-15,1.6641,-0.8638150839985759,0.4456301394145861
BGN,2025-12-16,1.663105,-0.059792079802889475,0.40260177938027714
BGN,2025-12-17,1.670105,0.4208994621506035,0.43116718347362015
BGN,2025-12-18,1.664955,-0.3083638453869608,0.4205095518557707
BGN,2025-12-22,1.663495,-0.0876900576892492,0.405390573901378
BGN,2025-12-23,1.66032,-0.19086321269374817,0.3822066806197838
BGN,2026-01-02,1.6666,0.37824033921172173,0.43529393633911534
BGN,2026-01-05,1.675438,0.5303012120484674,0.3360640293447511
BGN,2026-01-06,1.671952,-0.20806499554145708,0.3519309794483065
BGN,2026-01-07,1.673576,0.097131975080611,0.3188196493274469
BGN,2026-01-08,1.675571,0.11920582035114258,0.2819995238039078
BGN,2026-01-09,1.680809,0.3126098506121222,0.28026401695793113
BGN,2026-01-12,1.67608,-0.2813526105583719,0.2999164753164975
BGN,2026-01-13,1.677005,0.05518829650137391,0.2805583605393638
BGN,2026-01-14,1.678225,0.07274873956846228,0.2033681258556961
BGN,2026-01-15,1.681516,0.19610004617973686,0.18286686658064577
BGN,2026-01-16,1.683438,0.11430161830157104,0.1832237545274342
BGN,2026-01-19,1.682097,-0.07965841331846191,0.19207909719559188
BGN,2026-01-20,1.66742,-0.8725418331998691,0.36886182684273394
BGN,2026-01-21,1.667968,0.03286514495448589,0.3641341258519815
BGN,2026-01-22,1.671153,0.19095090553298277,0.3752783238907005
BGN,2026-01-23,1.665612,-0.33156748663946134,0.38436385077983465
BGN,2026-01-26,1.651166,-0.8673088330295564,0.4492396985413498
BGN,2026-01-27,1.640205,-0.6638339209988575,0.4375964865068813
BGN,2026-01-28,1.632926,-0.44378599016585696,0.4185361620736992
BHD,2025-12-01,0.377016,,
BHD,2025-12-02,0.376948,-0.01803636980923784,
BHD,2025-12-03,0.377002,0.014325583369578787,0.022883356545182785
BHD,2025-12-07,0.377023,0.005570262226717304,0.016739298760419748
BHD,2025-12-08,0.376995,-0.007426602621052325,0.014247420786974148
BHD,2025-12-15,0.376989,-0.0015915330442095588,0.012338951715200564
BHD,2025-12-16,0.376979,-0.0026525972906421558,0.011047542814140603
BHD,2025-12-17,0.377014,0.00928433679330265,0.010896816954698236
BHD,2025-12-18,0.377,-0.003713389953696744,0.007892737500433221
BHD,2025-12-22,0.376966,-0.009018567639251795,0.006633884141212001
BHD,2025-12-23,0.377045,0.020956797164739527,0.01064866289713582
BHD,2026-01-02,0.3770105,-0.009150101446775416,0.010888715287103527
BHD,2026-01-05,0.376938,-0.019230233640721295,0.0132598716296822
BHD,2026-01-06,0.376965,0.007162981710528982,0.013683202997035727
BHD,2026-01-07,0.37699,0.006631915429822222,0.013399928013254035
BHD,2026-01-08,0.377009,0.005039921483329657,0.013502602847055293
BHD,2026-01-09,0.376947,-0.016445230750461448,0.014607250076101507
BHD,2026-01-12,0.377111,0.04350744269088214,0.02118854772004706
BHD,2026-01-13,0.377051,-0.01591043485869026,0.021948614041424605
BHD,2026-01-14,0.377053,0.0005304322227006608,0.02001839409430159
BHD,2026-01-15,0.377,-0.014056379341897962,0.02110048133369969
BHD,2026-01-16,0.377004,0.0010610079575590348,0.02097176960116579
BHD,2026-01-19,0.376929,-0.01989368813062331,0.022162226240108544
BHD,2026-01-20,0.376971,0.01114268204356339,0.02182937524874363
BHD,2026-01-21,0.376995,0.006366537479007839,0.012092800739528592
BHD,2026-01-22,0.377002,0.0018567885515574645,0.011096336479509743
BHD,2026-01-23,0.376999,-0.0007957517466850028,0.011060060884308609
BHD,2026-01-26,0.376991,-0.0021220215438155776,0.009741221366202372
BHD,2026-01-27,0.377022,0.0082230079763157,0.010274499111012103
BHD,2026-01-28,0.376973,-0.012996589058467123,0.008065710682902105
BIF,2025-12-01,2946.844018,,
BIF,2025-12-02,2954.842866,0.27143778059310897,
BIF,2025-12-03,2954.418096,-0.014375383709497314,0.20210042663075778
BIF,2025-12-07,2954.622622,0.006922716871948786,0.1592225868150493
BIF,2025-12-08,2954.170295,-0.015309129383633824,0.13988981085202426
BIF,2025-12-15,2953.096043,-0.03636391584527221,0.1289132124034138
BIF,2025-12-16,2964.564057,0.38833867348080364,0.18230000250076575
BIF,2025-12-17,2954.362038,-0.3441321828047683,0.23640480104724113
BIF,2025-12-18,2958.345661,0.134838687634109,0.21877395225176857
BIF,2025-12-22,2953.74084,-0.1556552724958915,0.22846712631339722
BIF,2025-12-23,2960.0,0.21190620095161705,0.24265479128063688
BIF,2026-01-02,2959.3542214999998,-0.021816841216226734,0.2428528567915034
BIF,2026-01-05,2961.971604,0.08844438022945766,0.24215146281013583
BIF,2026-01-06,2957.6869,-0.14465715992055816,0.1946524871516691
BIF,2026-01-07,2960.741114,0.10326360102550503,0.14172543489853567
BIF,2026-01-08,2960.523095,-0.00736366306965941,0.13434385128496193
BIF,2026-01-09,2960.137108,-0.013037797295079034,0.11424030478600672
BIF,2026-01-12,2960.653032,0.01742905754622548,0.08200064133381621
BIF,2026-01-13,2960.350722,-0.010210922952891277,0.08152694658253899
BIF,2026-01-14,2960.121633,-0.007738576321292268,0.07271685754050534
BIF,2026-01-15,2962.364848,0.07578117652302652,0.047480612607873854
BIF,2026-01-16,2960.349359,-0.06803648785398408,0.04289342039677866
BIF,2026-01-19,2959.468376,-0.02975942678257182,0.04418616284477298
BIF,2026-01-20,2959.564146,0.003236054177069292,0.044125877603827524
BIF,2026-01-21,2959.649926,0.0028983997564679953,0.04335301160604422
BIF,2026-01-22,2960.740931,0.036862636706302965,0.045952746367303524
